          #time              R       pressure    -rho*dphi*R             ux             uy             uz             vx             vy             vz
  0.3863533E-04  0.4481783E-01  0.2519252E+06  0.1522770E+06  0.0000000E+00  0.0000000E+00  0.1397144E-07  0.0000000E+00  0.0000000E+00  0.7037670E-03
  0.3980301E-04  0.4488444E-01  0.2505390E+06  0.1517884E+06  0.0000000E+00  0.0000000E+00  0.1480499E-07  0.0000000E+00  0.0000000E+00  0.7234808E-03
  0.4097416E-04  0.4495110E-01  0.2491615E+06  0.1513016E+06  0.0000000E+00  0.0000000E+00  0.1566409E-07  0.0000000E+00  0.0000000E+00  0.7431774E-03
  0.4214880E-04  0.4501780E-01  0.2477928E+06  0.1508166E+06  0.0000000E+00  0.0000000E+00  0.1654888E-07  0.0000000E+00  0.0000000E+00  0.7628571E-03
  0.4332692E-04  0.4508456E-01  0.2464326E+06  0.1503333E+06  0.0000000E+00  0.0000000E+00  0.1745948E-07  0.0000000E+00  0.0000000E+00  0.7825202E-03
  0.4450854E-04  0.4515137E-01  0.2450809E+06  0.1498518E+06  0.0000000E+00  0.0000000E+00  0.1839601E-07  0.0000000E+00  0.0000000E+00  0.8021671E-03
  0.4569366E-04  0.4521822E-01  0.2437378E+06  0.1493720E+06  0.0000000E+00  0.0000000E+00  0.1935860E-07  0.0000000E+00  0.0000000E+00  0.8217981E-03
  0.4688230E-04  0.4528513E-01  0.2424031E+06  0.1488940E+06  0.0000000E+00  0.0000000E+00  0.2034738E-07  0.0000000E+00  0.0000000E+00  0.8414137E-03
  0.4807445E-04  0.4535208E-01  0.2410767E+06  0.1484177E+06  0.0000000E+00  0.0000000E+00  0.2136246E-07  0.0000000E+00  0.0000000E+00  0.8610141E-03
  0.4927013E-04  0.4541908E-01  0.2397587E+06  0.1479431E+06  0.0000000E+00  0.0000000E+00  0.2240398E-07  0.0000000E+00  0.0000000E+00  0.8805996E-03
  0.5046934E-04  0.4548613E-01  0.2384489E+06  0.1474703E+06  0.0000000E+00  0.0000000E+00  0.2347207E-07  0.0000000E+00  0.0000000E+00  0.9001707E-03
  0.5167210E-04  0.4555323E-01  0.2371473E+06  0.1469991E+06  0.0000000E+00  0.0000000E+00  0.2456685E-07  0.0000000E+00  0.0000000E+00  0.9197277E-03
  0.5287841E-04  0.4562038E-01  0.2358539E+06  0.1465297E+06  0.0000000E+00  0.0000000E+00  0.2568845E-07  0.0000000E+00  0.0000000E+00  0.9392709E-03
  0.5408827E-04  0.4568758E-01  0.2345685E+06  0.1460620E+06  0.0000000E+00  0.0000000E+00  0.2683700E-07  0.0000000E+00  0.0000000E+00  0.9588006E-03
  0.5530170E-04  0.4575482E-01  0.2332912E+06  0.1455959E+06  0.0000000E+00  0.0000000E+00  0.2801263E-07  0.0000000E+00  0.0000000E+00  0.9783172E-03
  0.5651871E-04  0.4582212E-01  0.2320218E+06  0.1451315E+06  0.0000000E+00  0.0000000E+00  0.2921547E-07  0.0000000E+00  0.0000000E+00  0.9978211E-03
  0.5773929E-04  0.4588946E-01  0.2307604E+06  0.1446688E+06  0.0000000E+00  0.0000000E+00  0.3044566E-07  0.0000000E+00  0.0000000E+00  0.1017312E-02
  0.5896347E-04  0.4595685E-01  0.2295068E+06  0.1442078E+06  0.0000000E+00  0.0000000E+00  0.3170333E-07  0.0000000E+00  0.0000000E+00  0.1036792E-02
  0.6019124E-04  0.4602429E-01  0.2282610E+06  0.1437484E+06  0.0000000E+00  0.0000000E+00  0.3298861E-07  0.0000000E+00  0.0000000E+00  0.1056259E-02
  0.6142262E-04  0.4609178E-01  0.2270229E+06  0.1432906E+06  0.0000000E+00  0.0000000E+00  0.3430164E-07  0.0000000E+00  0.0000000E+00  0.1075715E-02
  0.6265761E-04  0.4615932E-01  0.2257926E+06  0.1428345E+06  0.0000000E+00  0.0000000E+00  0.3564254E-07  0.0000000E+00  0.0000000E+00  0.1095160E-02
  0.6389622E-04  0.4622690E-01  0.2245699E+06  0.1423801E+06  0.0000000E+00  0.0000000E+00  0.3701146E-07  0.0000000E+00  0.0000000E+00  0.1114594E-02
  0.6513846E-04  0.4629454E-01  0.2233548E+06  0.1419272E+06  0.0000000E+00  0.0000000E+00  0.3840854E-07  0.0000000E+00  0.0000000E+00  0.1134018E-02
  0.6638434E-04  0.4636222E-01  0.2221472E+06  0.1414760E+06  0.0000000E+00  0.0000000E+00  0.3983390E-07  0.0000000E+00  0.0000000E+00  0.1153432E-02
  0.6763386E-04  0.4642995E-01  0.2209471E+06  0.1410264E+06  0.0000000E+00  0.0000000E+00  0.4128769E-07  0.0000000E+00  0.0000000E+00  0.1172835E-02
  0.6888704E-04  0.4649774E-01  0.2197545E+06  0.1405784E+06  0.0000000E+00  0.0000000E+00  0.4277005E-07  0.0000000E+00  0.0000000E+00  0.1192229E-02
  0.7014387E-04  0.4656556E-01  0.2185692E+06  0.1401320E+06  0.0000000E+00  0.0000000E+00  0.4428112E-07  0.0000000E+00  0.0000000E+00  0.1211614E-02
  0.7140437E-04  0.4663344E-01  0.2173913E+06  0.1396872E+06  0.0000000E+00  0.0000000E+00  0.4582103E-07  0.0000000E+00  0.0000000E+00  0.1230990E-02
  0.7266855E-04  0.4670137E-01  0.2162206E+06  0.1392439E+06  0.0000000E+00  0.0000000E+00  0.4738993E-07  0.0000000E+00  0.0000000E+00  0.1250358E-02
  0.7393642E-04  0.4676934E-01  0.2150572E+06  0.1388023E+06  0.0000000E+00  0.0000000E+00  0.4898796E-07  0.0000000E+00  0.0000000E+00  0.1269717E-02
  0.7520798E-04  0.4683737E-01  0.2139010E+06  0.1383622E+06  0.0000000E+00  0.0000000E+00  0.5061526E-07  0.0000000E+00  0.0000000E+00  0.1289069E-02
  0.7648323E-04  0.4690544E-01  0.2127519E+06  0.1379236E+06  0.0000000E+00  0.0000000E+00  0.5227198E-07  0.0000000E+00  0.0000000E+00  0.1308412E-02
  0.7776220E-04  0.4697356E-01  0.2116099E+06  0.1374867E+06  0.0000000E+00  0.0000000E+00  0.5395825E-07  0.0000000E+00  0.0000000E+00  0.1327749E-02
  0.7904488E-04  0.4704173E-01  0.2104749E+06  0.1370512E+06  0.0000000E+00  0.0000000E+00  0.5567423E-07  0.0000000E+00  0.0000000E+00  0.1347078E-02
  0.8033129E-04  0.4710995E-01  0.2093469E+06  0.1366174E+06  0.0000000E+00  0.0000000E+00  0.5742007E-07  0.0000000E+00  0.0000000E+00  0.1366401E-02
  0.8162143E-04  0.4717821E-01  0.2082258E+06  0.1361850E+06  0.0000000E+00  0.0000000E+00  0.5919590E-07  0.0000000E+00  0.0000000E+00  0.1385717E-02
  0.8291531E-04  0.4724653E-01  0.2071117E+06  0.1357542E+06  0.0000000E+00  0.0000000E+00  0.6100187E-07  0.0000000E+00  0.0000000E+00  0.1405027E-02
  0.8421294E-04  0.4731489E-01  0.2060044E+06  0.1353249E+06  0.0000000E+00  0.0000000E+00  0.6283814E-07  0.0000000E+00  0.0000000E+00  0.1424332E-02
  0.8551433E-04  0.4738330E-01  0.2049039E+06  0.1348971E+06  0.0000000E+00  0.0000000E+00  0.6470485E-07  0.0000000E+00  0.0000000E+00  0.1443631E-02
  0.8681948E-04  0.4745176E-01  0.2038101E+06  0.1344708E+06  0.0000000E+00  0.0000000E+00  0.6660216E-07  0.0000000E+00  0.0000000E+00  0.1462925E-02
  0.8812841E-04  0.4752027E-01  0.2027230E+06  0.1340460E+06  0.0000000E+00  0.0000000E+00  0.6853020E-07  0.0000000E+00  0.0000000E+00  0.1482213E-02
  0.8944112E-04  0.4758882E-01  0.2016426E+06  0.1336228E+06  0.0000000E+00  0.0000000E+00  0.7048914E-07  0.0000000E+00  0.0000000E+00  0.1501498E-02
  0.9075761E-04  0.4765743E-01  0.2005688E+06  0.1332010E+06  0.0000000E+00  0.0000000E+00  0.7247913E-07  0.0000000E+00  0.0000000E+00  0.1520778E-02
  0.9207790E-04  0.4772608E-01  0.1995016E+06  0.1327806E+06  0.0000000E+00  0.0000000E+00  0.7450031E-07  0.0000000E+00  0.0000000E+00  0.1540054E-02
  0.9340200E-04  0.4779478E-01  0.1984409E+06  0.1323618E+06  0.0000000E+00  0.0000000E+00  0.7655285E-07  0.0000000E+00  0.0000000E+00  0.1559326E-02
  0.9472992E-04  0.4786353E-01  0.1973867E+06  0.1319444E+06  0.0000000E+00  0.0000000E+00  0.7863690E-07  0.0000000E+00  0.0000000E+00  0.1578595E-02
  0.9606165E-04  0.4793233E-01  0.1963389E+06  0.1315285E+06  0.0000000E+00  0.0000000E+00  0.8075261E-07  0.0000000E+00  0.0000000E+00  0.1597861E-02
  0.9739722E-04  0.4800117E-01  0.1952976E+06  0.1311141E+06  0.0000000E+00  0.0000000E+00  0.8290015E-07  0.0000000E+00  0.0000000E+00  0.1617124E-02
  0.9873662E-04  0.4807007E-01  0.1942625E+06  0.1307011E+06  0.0000000E+00  0.0000000E+00  0.8507966E-07  0.0000000E+00  0.0000000E+00  0.1636384E-02
